Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
176562,USB-C Charging Cable,1,11.95,04/29/19 13:03,"381 Wilson St, San Francisco, CA 94016"
176569,27in 4K Gaming Monitor,1,389.99,04/16/19 19:23,"657 Hill St, Dallas, TX 75001"
176587,27in FHD Monitor,1,149.99,04/29/19 19:38,"557 5th St, Los Angeles, CA 90001"
176619,Flatscreen TV,1,300.0,04/16/19 18:37,"116 North St, Los Angeles, CA 90001"
176659,20in Monitor,1,109.99,04/29/19 14:40,"804 Church St, Dallas, TX 75001"
176660,AA Batteries (4-pack),1,3.84,04/16/19 17:10,"267 West St, Boston, MA 02215"
176679,Apple Airpods Headphones,1,150.0,04/16/19 11:12,"245 West St, Boston, MA 02215"
176735,27in FHD Monitor,1,149.99,04/16/19 23:52,"802 Ridge St, Austin, TX 73301"
176741,USB-C Charging Cable,1,11.95,04/29/19 18:49,"990 Ridge St, San Francisco, CA 94016"
176764,Wired Headphones,1,11.99,04/16/19 19:52,"652 Center St, Atlanta, GA 30301"
176769,AA Batteries (4-pack),1,3.84,04/29/19 14:14,"206 10th St, San Francisco, CA 94016"
176802,AA Batteries (4-pack),1,3.84,04/29/19 17:33,"627 12th St, Boston, MA 02215"
176858,AAA Batteries (4-pack),1,2.99,04/16/19 13:25,"669 Park St, Los Angeles, CA 90001"
176862,AAA Batteries (4-pack),1,2.99,04/29/19 11:37,"267 Willow St, San Francisco, CA 94016"
176871,AA Batteries (4-pack),1,3.84,04/29/19 20:02,"489 9th St, Dallas, TX 75001"
176919,AAA Batteries (4-pack),1,2.99,04/29/19 07:02,"240 14th St, Boston, MA 02215"
176938,AAA Batteries (4-pack),1,2.99,04/29/19 21:08,"249 Jefferson St, Los Angeles, CA 90001"
176953,Flatscreen TV,1,300.0,04/29/19 13:41,"595 West St, Dallas, TX 75001"
176961,27in FHD Monitor,1,149.99,04/16/19 15:13,"357 Willow St, Portland, OR 97035"
177012,Lightning Charging Cable,3,14.95,04/29/19 14:05,"987 9th St, New York City, NY 10001"
177017,AAA Batteries (4-pack),5,2.99,04/16/19 00:04,"713 Sunset St, New York City, NY 10001"
177020,Macbook Pro Laptop,1,1700.0,04/16/19 22:31,"606 Walnut St, Seattle, WA 98101"
177029,Wired Headphones,1,11.99,04/29/19 11:23,"404 Church St, Boston, MA 02215"
177046,Vareebadd Phone,1,400.0,04/29/19 13:02,"406 12th St, Los Angeles, CA 90001"
177088,AAA Batteries (4-pack),3,2.99,04/16/19 06:57,"828 West St, Boston, MA 02215"
177093,27in FHD Monitor,1,149.99,04/29/19 12:29,"124 Church St, San Francisco, CA 94016"
177117,ThinkPad Laptop,1,999.99,04/16/19 19:34,"564 Hill St, San Francisco, CA 94016"
177117,AAA Batteries (4-pack),1,2.99,04/16/19 19:34,"564 Hill St, San Francisco, CA 94016"
177127,27in FHD Monitor,1,149.99,04/16/19 21:15,"469 6th St, Austin, TX 73301"
177133,27in FHD Monitor,1,149.99,04/16/19 11:54,"929 Jackson St, Los Angeles, CA 90001"
177134,Lightning Charging Cable,1,14.95,04/16/19 12:58,"132 Ridge St, San Francisco, CA 94016"
177188,AAA Batteries (4-pack),2,2.99,04/29/19 23:34,"281 Lake St, Los Angeles, CA 90001"
